STN;LON(east);LAT(north);ALT(m);NAME;PROVINCE;CODE
209;4.518;52.465;0;IJMOND;NOORD-HOLLAND;NH
210;4.43;52.171;-0.2;VALKENBURG;LIMBURG;LI
215;4.437;52.141;-1.1;VOORSCHOTEN;ZUID-HOLLAND;ZH
225;4.555;52.463;4.4;IJMUIDEN;ZUID-HOLLAND;ZH
235;4.781;52.928;1.2;DE KOOY;NOORD-HOLLAND;NH
240;4.79;52.318;-3.3;SCHIPHOL;NOORD-HOLLAND;NH
242;4.921;53.241;10.8;VLIELAND;FRIESLAND;FR
248;5.174;52.634;0.8;WIJDENES;NOORD-HOLLAND;NH
249;4.979;52.644;-2.4;BERKHOUT;NOORD-HOLLAND;NH
251;5.346;53.392;0.7;HOORN (TERSCHELLING);FRIESLAND;FR
257;4.603;52.506;8.5;WIJK AAN ZEE;NOORD-HOLLAND;NH
258;5.401;52.649;7.3;HOUTRIBDIJK;FLEVOLAND;FL
260;5.18;52.1;1.9;DE BILT;UTRECHT;UT
265;5.274;52.13;13.9;SOESTERBERG;UTRECHT;UT
267;5.384;52.898;-1.3;STAVOREN;FRIESLAND;FR
269;5.52;52.458;-3.7;LELYSTAD;FLEVOLAND;FL
270;5.752;53.224;1.2;LEEUWARDEN;FRIESLAND;FR
273;5.888;52.703;-3.3;MARKNESSE;FLEVOLAND;FL
275;5.873;52.056;48.2;DEELEN;GELDERLAND;GD
277;6.2;53.413;2.9;LAUWERSOOG;GRONINGEN;GR
278;6.259;52.435;3.6;HEINO;OVERIJSSEL;OV
279;6.574;52.75;15.8;HOOGEVEEN;GRONINGEN;GR
280;6.585;53.125;5.2;EELDE;DRENTHE;DR
283;6.657;52.069;29.1;HUPSEL;GELDERLAND;GD
285;6.399;53.575;0;HUIBERTGAT;;
286;7.15;53.196;-0.2;NIEUW BEERTA;GRONINGEN;GR
290;6.891;52.274;34.8;TWENTHE;OVERIJSSEL;OV
308;3.379;51.381;0;CADZAND;ZEELAND;ZL
210;3.596;51.442;8;VLISSINGEN;ZEELAND;ZL
311;3.672;51.379;0;HOOFDPLAAT;ZEELAND;ZL
312;3.622;51.768;0;OOSTERSCHELDE;;
313;3.242;51.505;0;VLAKTE V.D. RAAN;;
315;3.998;51.447;0;HANSWEERT;ZEELAND;ZL
316;3.694;51.657;0;SCHAAR;;
319;3.861;51.226;1.7;WESTDORPE;ZEELAND;
323;3.884;51.527;1.4;WILHELMINADORP;ZEELAND;ZL
324;4.006;51.596;0;STAVENISSE;ZEELAND;ZL
330;4.122;51.992;11.9; HOEK VAN HOLLAND;ZUID-HOLLAND;ZH
331;4.193;51.48;0;THOLEN;ZEELAND;ZL
340;4.342;51.449;19.2;WOENSDRECHT;NOORD-BRABANT;NB
343;4.313;51.893;3.5;R'DAM-GEULHAVEN;ZUID-HOLLAND;ZH
344;4.447;51.962;-4.3;ROTTERDAM;ZUID-HOLLAND;ZH
348;4.926;51.97;-0.7;CABAUW;UTRECHT;UT
350;4.936;51.566;14.9;GILZE-RIJEN;NOORD-BRABANT;NB
356;5.146;51.859;0.7;HERWIJNEN;GELDERLAND;GD
370;5.377;51.451;22.6;EINDHOVEN;NOORD-BRABANT;NB
375;5.707;51.659;22;VOLKEL;NOORD-BRABANT;NB
377;5.763;51.198;30;ELL;LIMBURG;LI
380;5.762;50.906;114.3;MAASTRICHT;LIMBURG;LI
391;6.197;51.498;19.5;ARCEN;LIMBURG;LI
